Time,Count,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (dps),Gyro Y (dps),Gyro Z (dps)
0.996999979,132,0,-0.006,4.90500021,-0.061000001,-0.061000001,0
1.001000047,133,0,-0.006,4.90500021,-0.061000001,-0.061000001,0
1.013000011,134,0.003,-0.0048,4.910399914,-0.061000001,-0.061000001,0
1.01699996,135,0.003,-0.0048,4.910399914,-0.061000001,-0.061000001,0
1.023000002,136,0.003,-0.0048,4.910399914,-0.061000001,-0.061000001,0
1.029000044,137,0.003,-0.0048,4.910399914,-0.061000001,-0.061000001,0
1.036999941,138,0.0012,-0.0048,4.906799793,0,-0.061000001,0
1.041000009,139,0.0012,-0.0048,4.906799793,0,-0.061000001,0
1.055999994,140,0.0012,-0.0048,4.906799793,0,-0.061000001,0
1.06400001,141,-0.0018,-0.003,4.905600071,0,-0.061000001,0
1.067999959,142,-0.0018,-0.003,4.905600071,0,-0.061000001,0
1.075999975,143,-0.0018,-0.003,4.905600071,0,-0.061000001,0
1.085000038,144,-0.0054,-0.0006,4.89839983,-0.061000001,-0.061000001,0
1.088999987,145,-0.0054,-0.0006,4.89839983,-0.061000001,-0.061000001,0
1.095999956,146,-0.0054,-0.0006,4.89839983,-0.061000001,-0.061000001,0
1.100000024,147,-0.0054,-0.0006,4.89839983,-0.061000001,-0.061000001,0
1.110000014,148,-0.0036,0.0024,4.909800053,-0.061000001,-0.061000001,0
1.113999963,149,-0.0036,0.0024,4.909800053,-0.061000001,-0.061000001,0
1.121999979,150,-0.0036,0.0024,4.909800053,-0.061000001,-0.061000001,0
1.123999953,151,-0.0036,0.0024,4.909800053,-0.061000001,-0.061000001,0
1.136999965,152,0.0018,0,4.908599854,-0.061000001,-0.061000001,0
1.141000032,153,0.0018,0,4.908599854,-0.061000001,-0.061000001,0
1.156000018,154,0.0018,0,4.908599854,-0.061000001,-0.061000001,0
1.164000034,155,0.0036,-0.003,4.90320015,0,-0.061000001,0
